#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -9.79375
32    33    0.32195 
32    34    0.18479 
32    35    -0.50051 
32    36    0.31689 
MO:33   0.52599
33    1    0.03269 
33    2    -0.23013 
33    3    0.69813 
33    4    -0.39139 
33    5    0.00034 
33    6    0.09399 
33    7    -0.66171 
33    8    0.10186 
33    9    0.12362 
33    10    -0.00045 
33    11    0.06151 
33    12    -0.43294 
33    13    -0.04115 
33    14    -0.64418 
33    15    0.00051 
33    16    -0.03142 
33    17    0.22112 
33    18    0.70506 
33    19    -0.37675 
33    20    0.00052 
33    21    -0.09420 
33    22    0.66323 
33    23    0.11025 
33    24    0.12344 
33    25    0.00007 
33    26    -0.06255 
33    27    0.44040 
33    28    -0.02930 
33    29    -0.64786 
33    30    0.00030 
33    31    0.08813 
33    32    0.27350 
33    33    0.18221 
33    34    -0.09711 
33    35    -0.27069 
33    36    -0.17602 
MO:34   0.52614
34    1    -0.08999 
34    2    0.63359 
34    3    0.21712 
34    4    -0.18700 
34    5    0.00008 
34    6    -0.01787 
34    7    0.12587 
34    8    0.72487 
34    9    0.41563 
34    10    0.00004 
34    11    0.07326 
34    12    -0.51582 
34    13    -0.03612 
34    14    0.55242 
34    15    -0.00012 
34    16    0.09024 
34    17    -0.63538 
34    18    0.22429 
34    19    -0.18599 
34    20    0.00007 
34    21    0.01679 
34    22    -0.11819 
34    23    0.73115 
34    24    0.40202 
34    25    -0.00013 
34    26    -0.07244 
34    27    0.51004 
34    28    -0.04686 
34    29    0.54851 
34    30    -0.00050 
34    31    -0.26156 
34    32    -0.04578 
34    33    0.20747 
34    34    0.25878 
34    35    0.05444 
34    36    -0.21349 
MO:35   0.67742
35    1    0.00025 
35    2    -0.00173 
35    3    -0.65687 
35    4    0.37563 
35    5    -0.00011 
35    6    -0.00024 
35    7    0.00164 
35    8    -0.65685 
35    9    -0.37599 
35    10    -0.00005 
35    11    0.00010 
35    12    -0.00047 
35    13    0.00237 
35    14    -0.75594 
35    15    0.00033 
35    16    -0.00016 
35    17    0.00096 
35    18    0.65316 
35    19    -0.37993 
35    20    0.00062 
35    21    0.00028 
35    22    -0.00199 
35    23    0.65368 
35    24    0.38073 
35    25    -0.00022 
35    26    -0.00024 
35    27    0.00168 
35    28    0.00320 
35    29    0.75663 
35    30    -0.00057 
35    31    -0.00141 
35    32    0.00113 
35    33    -0.00131 
35    34    0.00111 
35    35    -0.00111 
35    36    0.00142 
MO:36   0.72749
36    1    0.06549 
36    2    -0.48680 
36    3    -0.33270 
36    4    -0.58243 
36    5    0.00032 
36    6    -0.06553 
36    7    0.48715 
36    8    -0.33240 
36    9    0.58245 
36    10    -0.00033 
36    11    0.06547 
36    12    -0.48660 
36    13    0.67040 
36    14    0.00359 
36    15    0.00045 
36    16    -0.06545 
36    17    0.48642 
36    18    -0.33821 
36    19    -0.57870 
36    20    0.00023 
36    21    0.06552 
